Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level
0,19.1,49.86,122.63,578.25,466.49,737.62,700.55,638.45,1,Low Activity
2,19.31,52.33,105.36,581.56,424.89,717.98,668.088,587.35,2,Low Activity
0,20.22,50.3,100.72,605.04,472.17,736.08,683.79,624.45,2,Low Activity
1,16.88,49.6,112.4,582.18,490.24,749.14,699.17,636.19,2,High Activity
3,23.51,46.04,152.36,574.98,437.15,707.37,674.35,591.11,2,Low Activity
2,19.04,52.35,96.68,586.87,474.36,735.89,688.81,610.21,2,High Activity
2,19.1,52.26,100.43,588.04,462.0,732.93,687.05,605.25,2,Moderate Activity
0,19.32,50.67,112.32,601.95,467.84,741.39,695.856,630.24,1,Low Activity
2,19.83,51.13,101.29,584.12,384.14,708.64,663.9,591.75,2,Low Activity
3,23.26,43.31,125.16,572.43,457.29,714.47,679.91,600.53,2,Low Activity
2,20.49,50.12,93.52,582.72,388.52,702.56,656.6099999999999,582.08,2,Low Activity
3,25.8,48.23,117.82,578.93,478.48,682.67,595.26,538.79,2,Low Activity
2,20.45,50.67,95.92,581.41,410.67,720.58,675.55,596.86,2,Low Activity
0,19.52,54.98,121.84,596.41,497.24,732.56,711.318,607.16,1,Low Activity
3,25.14,49.51,125.3,552.27,486.59,615.03,669.39,600.38,2,Low Activity
2,16.96,48.89,83.92,599.87,506.35,741.82,621.454,638.5,1,Low Activity
2,20.69,51.85,98.27,576.97,450.11,718.91,678.98,606.96,2,Moderate Activity
2,21.09,51.29,105.02,588.67,455.19,726.89,686.408,618.32,2,Moderate Activity
0,20.16,56.12,129.35,562.78,362.07,681.02,657.0,559.92,2,Low Activity
2,21.93,49.98,102.92,574.99,458.86,721.92,681.69,614.41,2,High Activity
2,21.73,50.54,106.76,580.28,457.25,718.54,676.726,613.54,2,Moderate Activity
2,21.67,51.02,107.22,577.68,458.24,581.23,679.81,613.76,2,Moderate Activity
2,21.74,51.03,110.38,576.29,458.79,723.73,679.66,610.74,2,Low Activity
1,19.7,56.27,140.63,564.95,395.58,706.38,650.486,573.58,2,Low Activity
2,21.91,50.83,105.91,578.93,457.76,725.01,677.47,610.48,2,Low Activity
2,22.86,48.74,113.87,580.69,446.33,717.5,708.1859999999999,598.29,2,Low Activity
2,23.45,47.55,102.83,578.68,473.89,717.4,680.79,617.16,2,High Activity
1,16.88,49.18,65.96,621.52,572.1,781.84,745.96,700.55,1,Moderate Activity
2,23.95,46.82,106.71,577.5,469.51,727.76,676.57,616.18,2,Moderate Activity
2,23.86,46.97,109.05,577.95,460.49,721.78,674.89,618.05,2,Low Activity
1,18.74,54.35,107.17,594.32,511.29,748.19,730.952,634.21,0,Moderate Activity
3,23.93,47.15,107.98,580.64,465.31,717.55,675.69,599.94,2,Low Activity
3,23.71,47.7,110.73,576.34,466.33,719.85,682.65,610.66,2,High Activity
2,24.02,51.67,111.05,556.07,477.47,712.17,665.86,598.64,1,Low Activity
2,20.28,52.84,121.19,576.79,469.3,722.74,671.35,610.4,2,Low Activity
3,23.33,48.86,106.74,573.53,458.8,713.12,675.66,606.03,2,Low Activity
1,19.22,52.79,96.78,550.42,450.67,713.13,640.38,579.77,2,Low Activity
3,23.31,49.04,108.95,580.65,451.56,719.45,675.1220000000001,604.7,2,Low Activity
3,23.58,48.58,110.59,578.84,454.61,713.18,562.15,607.83,2,Low Activity
3,23.72,48.41,105.42,576.08,455.08,715.9,656.462,609.98,2,Low Activity
2,17.34,48.56,107.44,596.18,400.51,744.17,691.99,636.29,1,Moderate Activity
3,24.1,47.64,108.17,574.59,459.11,723.93,677.59,602.65,2,Low Activity
3,24.25,47.34,107.54,578.93,450.87,715.96,676.69,597.24,2,Low Activity
1,20.4,48.85,102.92,582.45,460.63,736.68,696.24,625.42,1,Moderate Activity
3,24.64,46.59,111.65,571.56,452.33,713.0,684.52,603.09,2,Low Activity
3,24.72,46.54,111.99,573.81,448.26,717.99,469.32,614.62,2,Low Activity
3,24.77,46.55,114.08,573.38,454.06,719.98,674.71,609.93,2,Low Activity
3,23.21,51.43,109.2,573.44,430.71,721.59,680.64,600.7,1,Low Activity
3,24.02,48.59,112.85,574.54,458.15,710.32,676.44,603.09,2,Low Activity
2,18.18,53.13,105.55,593.46,464.6,742.02,695.08,622.95,1,Moderate Activity
3,24.23,48.36,114.25,570.62,443.49,718.78,647.788,601.38,2,Moderate Activity
0,19.38,54.98,102.08,578.93,494.44,735.65,704.91,619.27,1,Moderate Activity
1,17.68,45.92,61.15,632.76,607.04,790.42,770.24,712.97,0,Moderate Activity
3,24.96,46.96,121.6,574.29,371.08,698.67,659.59,578.74,2,Low Activity
3,23.17,51.33,124.37,552.29,462.03,712.32,658.42,609.04,1,Low Activity
3,24.94,47.13,121.95,576.06,397.72,698.02,647.588,583.43,2,Low Activity
3,24.76,47.66,119.57,576.24,400.37,702.1,650.24,584.41,2,Low Activity
3,24.81,47.66,121.81,578.93,405.93,704.76,689.344,591.65,2,Low Activity
2,22.38,50.64,119.86,566.44,392.4,700.74,637.9,562.31,2,Low Activity
3,24.77,47.8,115.44,564.97,401.12,703.8,520.11,583.14,2,Low Activity
2,22.18,54.13,109.53,539.91,497.13,727.26,520.01,601.99,2,Low Activity
3,24.81,47.75,119.5,571.89,392.89,702.97,653.8,586.07,2,Low Activity
3,24.94,47.73,121.9,568.68,395.42,701.56,651.7879999999999,588.12,2,Low Activity
3,24.59,48.09,121.42,569.17,403.7,693.95,663.0,578.26,2,Low Activity
3,24.69,47.82,119.13,575.43,404.67,691.41,653.48,578.95,2,Low Activity
3,24.88,47.21,118.8,571.41,415.44,698.35,650.99,568.46,2,Low Activity
3,24.96,46.99,119.6,573.37,419.06,700.44,655.94,566.16,2,Low Activity
3,24.93,46.82,122.73,573.03,404.64,693.54,676.7320000000001,564.46,2,Low Activity
3,25.33,46.39,113.9,571.21,388.82,693.49,660.89,559.02,2,Low Activity
3,25.07,47.05,120.5,568.37,395.83,687.42,641.36,575.0,2,Low Activity
3,25.1,46.96,124.74,576.87,413.96,687.75,613.858,568.74,2,Moderate Activity
0,17.87,49.71,119.06,580.32,480.93,734.13,874.37,631.0,1,High Activity
3,25.39,45.98,121.67,566.47,393.11,699.32,637.66,557.03,2,Low Activity
3,24.17,47.73,121.63,574.45,384.35,678.96,635.67,556.48,2,Low Activity
3,24.31,47.84,119.47,569.36,399.51,674.82,629.68,553.08,2,Low Activity
3,24.27,47.87,116.95,573.88,406.4,849.59,617.1,543.23,2,Low Activity
3,23.93,48.46,124.47,575.36,384.2,675.38,633.47,541.13,3,Low Activity
3,23.59,49.07,115.23,564.93,380.3,676.16,634.792,541.9,3,Low Activity
0,20.06,56.81,106.01,595.76,458.76,721.12,675.53,612.6,3,Moderate Activity
0,23.33,49.29,118.35,568.48,372.27,678.67,805.98,539.14,3,Low Activity
2,19.55,51.58,89.72,614.74,544.86,762.17,696.24,611.72,1,Low Activity
2,21.39,49.7,108.18,578.93,487.96,735.62,690.92,631.35,1,Low Activity
1,18.95,57.51,139.05,559.83,455.01,699.24,658.83,582.81,2,Low Activity
0,20.14,51.71,138.94,582.7,453.71,713.51,687.0,598.65,1,Moderate Activity
0,22.68,50.29,117.34,578.93,385.09,685.01,642.73,557.5,3,Low Activity
0,22.6,50.44,118.84,567.62,378.54,680.32,641.822,549.91,3,Moderate Activity
0,22.58,50.42,121.87,571.94,377.01,679.8,643.58,552.28,3,Low Activity
0,22.07,51.51,121.88,562.78,384.21,685.92,628.83,557.22,3,Low Activity
0,22.17,51.15,123.95,578.93,382.26,690.56,649.67,563.79,3,Low Activity
3,23.81,50.92,137.97,556.63,409.09,680.39,589.68,530.23,2,Low Activity
0,22.38,50.33,118.71,567.75,386.05,691.93,643.264,554.95,3,Low Activity
0,22.17,50.69,122.61,562.93,383.28,685.06,626.45,553.73,3,Low Activity
0,21.97,51.0,126.68,572.77,381.33,686.09,632.14,555.19,3,Low Activity
0,22.29,50.05,123.19,568.79,379.34,690.62,647.91,565.48,3,Low Activity
0,21.78,51.26,125.66,567.59,369.18,681.15,678.278,550.72,2,Low Activity
0,20.41,52.97,125.51,574.92,405.43,691.75,659.52,578.26,2,Low Activity
3,25.03,50.83,136.76,543.2,472.58,655.69,570.75,510.17,2,Low Activity
1,18.87,57.54,138.71,567.48,442.82,721.86,676.1579999999999,616.4,1,Low Activity
3,21.98,48.09,113.12,584.12,450.12,712.72,613.9019999999999,570.7,1,Low Activity
0,21.34,52.52,128.11,565.76,367.92,679.1,630.89,549.17,3,Low Activity
0,21.23,52.67,122.17,564.55,362.76,688.27,653.574,553.84,3,Low Activity
0,20.93,57.31,134.59,564.01,435.11,697.87,651.92,594.43,1,Low Activity
0,21.25,52.49,123.36,570.53,380.92,698.66,641.83,537.87,3,Low Activity
0,21.18,52.52,131.9,569.13,374.25,673.93,637.69,563.78,3,Low Activity
3,21.22,53.12,137.19,564.74,477.87,730.77,688.26,610.45,2,Low Activity
0,18.05,51.23,134.22,582.84,486.15,748.81,700.956,640.84,1,Moderate Activity
2,19.92,52.17,90.29,612.13,488.46,609.72,709.54,637.33,2,Moderate Activity
1,19.2,56.44,112.02,600.71,475.74,729.3,672.13,597.63,1,High Activity
2,23.08,53.09,107.37,552.52,470.41,718.44,675.77,599.82,1,Low Activity
0,20.53,53.11,120.43,578.93,399.76,692.84,689.986,559.89,2,Low Activity
0,20.59,52.83,118.56,574.43,402.97,699.93,645.9060000000001,576.39,2,Low Activity
0,20.52,52.93,181.69,571.93,402.82,697.04,650.3,573.18,2,Low Activity
0,20.5,52.88,126.54,575.42,384.21,701.01,650.47,563.33,2,Low Activity
2,23.6,48.09,109.7,583.81,469.11,724.86,678.6,613.87,1,Moderate Activity
0,20.34,52.94,121.39,566.58,398.11,703.19,627.134,580.87,2,Moderate Activity
0,20.33,52.85,124.35,567.4,387.5,700.53,659.082,581.14,2,Low Activity
0,20.3,52.85,125.34,568.63,407.39,703.07,655.23,582.78,2,Low Activity
0,20.3,52.77,123.17,576.38,395.45,621.67,655.92,579.0,2,Low Activity
0,19.79,49.08,117.81,590.33,390.77,720.14,639.32,552.38,2,Low Activity
0,20.25,52.77,122.34,578.93,395.7,616.05,649.44,572.15,2,Low Activity
0,18.85,50.84,124.74,590.96,460.63,747.06,704.868,646.33,1,Low Activity
0,18.36,50.59,122.77,579.88,490.1,748.05,703.9860000000001,648.21,1,Moderate Activity
0,19.94,53.12,128.2,570.5,408.54,711.35,669.508,593.59,2,Low Activity
1,19.86,53.08,123.14,578.93,412.25,708.33,668.9540000000001,581.58,2,Low Activity
1,19.86,53.01,121.62,569.41,397.88,712.44,671.6,599.85,2,Low Activity
1,19.72,57.55,114.31,553.53,415.32,701.53,653.57,605.21,2,Low Activity
1,19.75,53.14,118.24,573.52,408.37,707.28,669.72,582.29,2,Low Activity
1,19.77,53.09,119.87,573.18,395.84,707.79,671.958,601.39,2,Low Activity
2,20.93,58.63,151.51,537.16,495.74,709.26,658.07,602.93,2,Moderate Activity
2,17.05,45.16,55.97,577.98,604.08,798.09,765.0260000000001,727.9,0,Moderate Activity
1,19.75,52.8,124.32,566.84,413.49,710.34,669.856,588.15,2,Low Activity
1,19.79,52.65,128.18,566.82,408.66,712.71,664.39,585.93,2,Low Activity
1,19.67,52.92,119.73,568.3,406.94,708.57,472.58,596.75,2,Low Activity
3,23.61,51.0,140.45,563.05,407.19,682.24,472.29,534.96,2,Low Activity
1,18.88,50.5,44.26,595.12,535.1,764.94,723.19,663.75,1,Low Activity
1,19.54,53.17,124.22,572.23,420.11,717.4,680.22,600.63,2,Low Activity
1,19.55,53.14,123.36,576.66,406.07,719.16,666.28,598.07,2,Low Activity
1,19.49,53.22,125.52,572.57,408.39,703.28,680.77,603.77,2,Low Activity
1,18.77,55.83,134.97,576.5,490.57,721.29,896.52,616.77,1,Low Activity
0,19.59,57.34,119.57,595.89,466.54,728.1,673.23,608.43,2,Low Activity
1,18.74,53.14,107.21,555.03,475.75,704.15,661.88,587.94,1,Low Activity
1,19.93,57.6,128.44,571.49,467.87,720.84,672.76,615.2,1,Low Activity
1,18.85,56.04,114.73,578.93,498.55,746.86,663.7059999999999,639.92,1,Moderate Activity
3,21.16,52.15,129.66,574.04,461.51,718.57,670.21,608.95,2,Low Activity
1,19.2,53.28,122.74,571.15,425.78,724.44,676.33,600.24,2,Low Activity
1,19.1,52.42,118.92,571.37,431.31,720.15,679.86,602.62,2,Low Activity
1,19.03,52.52,123.5,575.05,433.02,710.34,697.138,588.19,2,Low Activity
1,18.95,52.65,113.61,574.17,423.63,710.71,667.53,598.2,2,Low Activity
1,19.01,52.33,116.12,571.45,422.55,707.16,645.1400000000001,595.2,2,Low Activity
1,16.4,46.77,77.0,578.93,571.62,787.72,742.03,702.98,0,Moderate Activity
3,22.58,46.13,123.69,587.29,471.05,732.45,685.49,619.53,1,Low Activity
1,18.89,52.29,118.93,574.71,415.71,706.34,659.91,575.64,3,Low Activity
1,18.86,52.29,109.59,575.34,440.46,707.91,660.31,576.2,3,Low Activity
0,21.1,55.1,144.1,565.33,374.87,687.6,636.86,542.57,2,Low Activity
1,18.67,52.5,115.0,570.85,433.52,713.81,668.29,593.43,3,Moderate Activity
3,22.1,45.95,86.46,566.92,528.94,751.84,702.05,642.25,1,Low Activity
1,18.73,52.29,112.86,575.67,431.48,713.11,657.5,580.46,3,Low Activity
1,20.33,57.32,132.61,549.28,453.88,718.41,670.536,592.35,1,Low Activity
3,21.95,53.12,137.65,566.32,455.75,708.81,661.39,576.21,2,Low Activity
1,18.97,52.17,114.63,576.72,429.95,708.11,675.56,586.57,3,Low Activity
1,19.13,51.96,115.08,577.28,407.32,715.94,665.86,581.64,3,Low Activity
1,19.19,51.8,115.61,575.77,415.46,712.09,660.26,578.04,3,Low Activity
3,21.59,48.73,101.33,600.08,480.02,729.15,495.48,614.37,1,Low Activity
1,19.19,51.99,115.21,570.64,408.49,709.41,676.43,579.22,3,Low Activity
1,19.17,51.41,113.99,573.85,411.58,716.06,666.986,590.0,3,Low Activity
1,19.09,49.38,100.15,578.93,461.97,737.26,706.77,632.09,3,High Activity
1,19.18,48.14,96.74,584.1,496.75,746.91,706.34,635.83,2,Moderate Activity
1,18.92,48.51,82.36,590.0,514.72,747.62,675.49,643.5,2,Moderate Activity
1,19.0,48.5,88.91,583.24,503.63,754.62,718.4,648.68,2,High Activity
1,19.61,53.75,122.05,573.33,480.02,742.15,699.59,646.11,1,Low Activity
0,20.34,51.86,103.56,561.6,455.53,718.35,665.42,613.44,1,Moderate Activity
1,19.05,53.34,111.51,554.56,497.51,752.11,705.034,638.03,1,Moderate Activity
1,18.43,50.55,78.12,595.1,518.47,568.04,706.99,650.86,2,Low Activity
1,18.39,50.9,83.6,588.65,518.93,752.37,713.818,645.67,2,High Activity
1,18.75,43.38,81.06,578.93,540.49,782.3,739.02,685.1,1,Moderate Activity
1,18.28,51.7,76.4,578.93,525.91,755.9,707.0020000000001,635.11,2,Low Activity
1,18.31,51.78,76.16,590.57,532.58,752.44,714.22,630.21,2,Low Activity
1,18.38,51.79,85.45,585.73,514.7,749.6,714.15,640.19,2,Moderate Activity
2,16.17,42.52,65.61,610.4,581.93,794.23,764.66,717.39,0,Moderate Activity
2,18.32,52.81,80.79,587.02,522.62,742.61,716.01,644.3,1,Low Activity
2,18.31,53.03,81.57,593.68,531.91,748.45,707.308,628.75,1,Moderate Activity
3,24.26,52.69,117.05,543.65,463.01,696.05,644.08,578.12,2,Low Activity
2,18.28,53.58,83.76,592.5,510.7,751.41,536.01,658.85,1,High Activity
0,19.6,52.33,115.99,592.47,445.14,721.46,679.9660000000001,575.87,1,Moderate Activity
2,18.28,53.72,82.31,594.08,531.41,758.47,687.42,652.22,1,Moderate Activity
2,18.23,53.71,81.9,589.72,538.28,764.17,708.93,656.84,0,Low Activity
3,22.57,46.89,125.7,587.61,445.05,875.66,675.99,597.72,2,High Activity
1,18.61,49.69,85.46,583.45,509.14,757.27,710.65,657.51,2,Moderate Activity
2,18.23,54.02,73.76,594.36,546.48,754.78,720.1139999999999,655.02,0,Low Activity
2,18.36,54.0,74.46,591.78,498.29,744.77,718.93,629.05,0,Low Activity
2,22.14,52.6,101.24,578.93,484.44,710.61,680.4179999999999,612.5,1,Moderate Activity
2,18.44,53.78,82.18,591.13,485.08,752.78,707.16,639.87,0,High Activity
1,19.23,48.38,85.67,578.93,529.9,773.2,739.46,679.35,1,Low Activity
2,18.45,54.07,88.05,587.22,499.43,746.6,707.6539999999999,646.33,1,Low Activity
2,19.03,53.92,103.35,578.45,493.44,737.7,700.16,617.07,1,Low Activity
2,19.97,52.29,103.96,578.63,453.41,723.34,686.6619999999999,620.48,1,Low Activity
0,21.07,49.14,100.59,604.87,461.0,724.82,679.11,601.12,2,Moderate Activity
2,20.85,53.39,125.65,570.42,481.11,717.59,681.58,598.5,1,High Activity
2,21.22,52.17,132.0,562.6,451.98,686.37,648.8,548.11,1,Low Activity
2,21.58,51.72,148.9,571.92,403.87,688.6,725.54,560.78,2,Low Activity
2,22.04,52.63,144.6,559.53,338.63,671.54,628.75,562.88,2,Low Activity
2,22.2,53.38,147.54,564.28,365.82,681.05,641.24,537.77,2,Low Activity
2,22.28,53.32,159.26,559.07,337.7,689.35,622.8,538.92,2,Low Activity
2,22.06,53.88,155.85,559.59,314.58,683.31,627.08,550.46,2,Low Activity
1,16.02,44.82,64.51,615.86,587.59,794.0,758.51,699.9,1,Moderate Activity
2,22.06,53.76,144.62,564.28,327.54,674.95,621.254,548.95,2,Low Activity
0,20.58,51.48,137.67,583.07,417.2,717.1,689.22,592.34,1,Moderate Activity
2,22.62,52.93,150.97,565.12,344.34,679.81,644.108,562.96,2,Low Activity
2,22.81,52.48,153.46,563.07,354.62,689.83,649.394,564.39,2,Low Activity
2,23.22,51.62,146.59,560.71,351.46,694.77,655.18,562.85,2,Moderate Activity
2,19.64,51.34,137.84,578.93,451.58,722.28,676.75,599.39,2,Low Activity
2,23.53,51.61,155.16,565.94,355.89,691.9,636.9,570.31,2,Low Activity
2,23.93,50.95,149.17,561.87,370.52,684.59,645.53,568.93,2,Low Activity
2,23.35,52.45,149.96,568.18,359.86,679.04,640.95,572.42,2,Low Activity
2,23.13,53.0,153.8,566.31,367.3,683.69,635.44,552.39,2,Low Activity
2,23.19,52.58,147.66,562.86,364.57,686.02,794.38,553.56,2,Low Activity
2,23.4,52.16,151.2,565.12,377.79,680.26,640.58,558.72,2,Moderate Activity
3,22.29,47.56,142.77,583.18,438.66,697.31,659.97,557.07,1,Low Activity
2,23.58,51.18,147.42,563.56,383.3,689.7,641.88,562.95,2,Low Activity
2,21.92,47.39,126.31,581.42,487.83,722.77,552.12,594.32,2,Low Activity
2,23.99,49.91,144.27,578.93,386.71,678.17,649.27,549.06,2,Moderate Activity
2,24.35,48.95,148.08,565.87,382.45,686.74,645.51,553.49,2,Low Activity
2,24.46,48.67,150.56,562.9,394.51,681.72,891.03,553.04,2,Low Activity
3,23.26,46.93,119.91,585.96,438.11,721.35,677.27,608.03,2,Moderate Activity
2,24.45,48.86,147.14,554.92,388.88,680.85,633.12,549.43,2,Low Activity
2,23.87,50.25,151.07,567.48,393.7,683.19,643.74,565.08,2,Low Activity
3,23.85,50.49,146.56,562.01,387.75,682.27,643.64,556.34,2,Low Activity
3,23.63,51.1,145.96,560.1,389.02,681.29,638.48,557.5,2,High Activity
3,23.74,50.51,149.88,565.99,401.51,680.57,679.792,548.88,2,Low Activity
2,20.52,51.49,122.16,575.85,472.28,862.42,664.35,614.46,2,High Activity
3,23.61,50.77,146.4,565.89,396.19,680.88,644.4,546.21,2,Low Activity
2,18.62,53.56,80.56,589.63,481.31,744.19,701.9,631.44,1,Low Activity
3,24.04,49.76,141.78,557.1,397.9,691.58,693.204,563.84,2,High Activity
3,24.21,49.64,143.22,560.22,401.14,683.47,616.956,557.85,2,Low Activity
3,22.93,50.59,113.76,578.93,432.6,703.74,656.05,587.97,2,Low Activity
0,20.62,55.18,111.3,595.67,420.62,701.49,634.84,548.11,2,Low Activity
0,17.99,52.17,119.62,592.99,496.03,757.21,713.91,658.13,0,Moderate Activity
2,18.99,54.83,116.98,578.93,424.16,738.87,685.02,615.95,1,High Activity
3,23.39,51.23,136.1,565.84,400.32,682.29,687.8240000000001,562.31,2,Low Activity
1,20.32,55.74,135.95,557.44,430.7,704.07,653.83,584.56,2,Low Activity
3,24.27,49.4,145.68,563.01,415.33,680.26,649.96,566.25,2,Low Activity
3,24.45,49.0,144.56,557.17,411.85,848.76,635.1339999999999,562.93,2,Low Activity
3,24.3,50.18,123.42,559.74,473.59,702.92,648.8700000000001,588.05,2,Moderate Activity
3,24.05,50.36,146.92,558.56,415.95,816.29,504.42,531.63,2,Low Activity
3,23.99,50.4,143.77,565.38,410.33,672.25,644.5,547.64,2,Low Activity
3,23.98,50.81,149.08,563.23,399.44,678.45,627.86,548.27,2,Low Activity
3,24.26,50.22,151.59,551.68,380.0,668.23,592.964,529.26,2,High Activity
1,16.81,54.23,176.69,587.82,481.25,761.62,726.5,675.9,0,Moderate Activity
3,23.93,50.27,147.88,564.97,390.35,673.96,645.57,536.2,2,Low Activity
0,22.21,56.26,132.44,546.77,449.46,707.03,651.62,586.12,2,Moderate Activity
3,23.59,51.17,206.77,564.48,395.55,679.49,646.5,547.58,2,Low Activity
2,23.25,50.65,128.83,571.43,400.71,659.67,574.28,513.24,2,Low Activity
3,24.58,48.77,148.2,556.77,410.68,680.35,632.57,552.7,2,Low Activity
3,24.12,50.14,145.62,556.21,416.36,677.45,638.84,547.73,2,Low Activity
3,25.2,49.48,117.66,547.07,464.18,664.9,575.08,524.53,2,Low Activity
2,19.62,45.53,96.81,596.67,399.26,747.15,700.56,641.18,2,Moderate Activity
3,24.81,48.34,141.18,567.67,413.28,676.35,633.858,551.86,2,Low Activity
1,15.34,42.61,74.33,617.15,566.61,789.53,750.21,692.93,1,Moderate Activity
2,16.49,46.24,65.45,615.33,631.95,794.67,765.7,705.63,0,Moderate Activity
3,24.79,48.52,147.99,561.12,367.41,671.49,624.25,546.63,2,Low Activity
3,25.11,46.0,107.25,578.93,339.4,716.39,657.052,581.34,2,Low Activity
3,24.82,48.1,149.56,578.93,393.13,672.01,633.946,551.3,2,Low Activity
1,19.42,53.51,101.84,581.81,417.96,726.26,663.13,594.18,1,Low Activity
3,25.56,46.41,143.25,566.04,399.6,677.25,635.67,546.66,2,Low Activity
3,25.16,47.3,144.17,562.58,381.64,673.53,611.626,534.12,2,Moderate Activity
3,24.27,49.13,137.25,564.47,375.83,671.9,637.45,536.59,2,Low Activity
1,20.35,56.74,127.31,544.77,477.47,707.53,662.88,593.58,2,Low Activity
3,23.14,51.8,141.98,564.25,363.66,669.99,628.52,546.66,2,Low Activity
3,23.25,51.32,143.45,564.79,361.39,679.55,637.19,536.77,2,Low Activity
3,22.56,52.46,142.45,567.28,350.8,681.67,645.91,545.07,2,Low Activity
3,24.35,46.56,103.97,593.77,412.4,702.6,652.83,551.11,1,Low Activity
3,22.36,52.73,137.99,559.43,363.15,681.99,562.38,550.81,3,Low Activity
3,22.28,52.85,134.45,563.79,369.29,680.33,635.74,538.71,3,Low Activity
3,22.19,53.05,143.37,558.35,386.46,676.79,645.47,541.74,3,Moderate Activity
3,23.57,44.12,94.03,601.32,484.66,744.49,693.8560000000001,622.91,1,Moderate Activity
3,22.39,52.66,140.11,567.65,368.45,686.28,645.63,543.53,3,Low Activity
1,19.1,52.93,94.96,594.8,489.67,740.32,702.35,634.69,0,High Activity
3,22.11,53.21,137.41,562.36,357.91,686.92,677.982,559.56,3,Low Activity
3,21.94,53.51,143.88,564.04,367.37,682.02,640.23,550.04,2,Low Activity
1,21.72,52.36,106.96,548.6,490.54,711.85,674.546,605.96,2,Low Activity
0,21.68,53.98,137.56,563.01,366.63,677.55,639.08,546.18,2,Low Activity
1,19.45,53.0,119.54,571.38,421.15,717.38,679.44,601.07,2,Low Activity
0,21.58,54.09,138.19,561.95,379.37,689.71,844.23,564.89,2,Low Activity
0,21.45,54.41,139.57,567.51,361.55,684.28,638.672,538.7,2,Low Activity
0,21.18,55.07,145.62,559.62,367.26,693.48,643.132,560.72,2,Low Activity
0,21.17,55.15,146.71,565.28,368.91,682.85,835.62,550.29,2,Low Activity
0,21.15,55.16,139.41,561.39,356.53,678.35,637.57,546.35,2,Low Activity
3,24.13,43.87,125.89,586.45,456.62,561.65,677.38,609.39,1,High Activity
0,21.5,57.08,125.06,544.91,465.64,708.78,670.3,602.2,1,Low Activity
0,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,0,High Activity
0,20.75,55.48,139.25,563.17,360.87,686.89,640.64,552.81,2,Moderate Activity
0,20.2,56.06,125.42,571.38,379.51,684.35,644.53,563.22,2,Low Activity
0,20.66,55.55,143.07,560.48,363.75,827.2,654.77,547.47,2,Low Activity
2,22.06,49.81,97.35,531.52,514.77,764.29,707.76,647.82,2,Moderate Activity
0,20.57,55.74,149.12,558.59,387.89,689.62,641.67,558.57,2,Low Activity
0,20.55,55.74,140.5,578.93,374.96,694.66,643.08,567.11,2,Low Activity
0,20.5,55.91,144.21,564.73,377.41,686.85,634.16,562.5,2,Low Activity
3,23.85,49.85,119.72,542.75,446.02,728.6,671.3,617.76,1,Low Activity
1,18.57,56.78,125.52,566.84,448.05,725.72,679.664,606.36,2,Low Activity
0,19.0,52.91,112.99,586.13,484.06,718.43,683.65,588.62,1,Moderate Activity
0,20.41,55.65,143.59,562.48,383.01,696.83,653.44,566.7,2,Low Activity
1,17.85,54.96,127.53,592.1,505.43,741.3,620.418,637.11,1,Low Activity
0,20.22,55.9,139.78,567.27,418.19,717.34,701.756,582.2,2,Low Activity
0,20.13,56.07,141.47,566.02,415.38,706.43,691.6360000000001,575.17,2,Low Activity
1,19.17,51.6,103.64,576.98,472.79,730.91,690.57,624.05,2,Low Activity
0,20.24,55.78,141.22,557.55,387.31,706.45,654.284,576.1,2,Low Activity
0,20.27,55.68,146.78,558.85,378.64,706.17,664.1,577.51,2,Low Activity
0,20.19,55.79,139.23,562.94,392.7,705.03,650.124,575.0,2,Low Activity
0,20.13,55.88,141.27,566.03,380.44,708.9,661.05,585.7,2,Low Activity
0,20.15,55.76,141.97,568.21,384.54,704.18,659.972,582.59,2,Low Activity
3,24.08,47.24,100.87,604.63,437.82,720.54,677.98,587.21,1,High Activity
0,20.07,55.78,141.07,558.4,373.47,706.83,667.23,575.1,2,Low Activity
0,19.95,55.97,136.77,562.59,406.66,714.8,679.498,607.75,2,Low Activity
3,23.26,51.04,133.0,564.35,423.16,689.21,591.64,534.03,2,Low Activity
0,19.85,56.0,142.6,569.88,397.53,718.24,668.48,596.17,2,Low Activity
0,19.88,55.76,140.82,566.24,381.49,709.67,511.41,588.98,2,Low Activity
0,19.84,55.93,145.67,570.63,408.84,708.09,671.33,592.45,2,Low Activity
3,25.99,47.62,114.31,543.58,493.48,676.28,595.36,547.15,2,Low Activity
0,19.72,56.06,143.36,563.0,407.02,713.95,667.874,595.17,2,Low Activity
0,19.61,56.25,138.37,564.5,402.09,716.75,669.288,593.6,2,Moderate Activity
1,16.97,45.92,66.57,569.04,578.16,791.09,749.03,695.46,0,Moderate Activity
1,18.55,52.28,72.47,568.33,575.55,764.83,727.442,668.74,1,Moderate Activity
0,19.56,56.35,145.26,563.09,389.3,715.86,675.36,603.82,2,Low Activity
0,19.91,51.93,102.61,554.57,495.07,754.06,876.64,645.94,1,Low Activity
0,19.5,56.46,143.14,568.13,405.88,719.55,678.56,598.32,2,Low Activity
